year,min_temp,max_temp,avg_temp,precipitation,city
1924,41,94,75,65.54,miami
1925,40,92,75.6,71.93,miami
1926,40,92,74.8,64.66,miami
1927,37,92,75.5,33.69,miami
1928,32,89,74.3,55.31,miami
1929,44,91,75.9,84.38,miami
1930,40,92,75.1,73.51,miami
1931,37,91,74.8,60.87,miami
1932,39,93,76,79.9,miami
1933,44,92,76.3,66.05,miami
1934,30,93,75.5,68.79,miami
1935,37,92,75,47.91,miami
1936,42,90,75.7,77.3,miami
1937,35,94,74.6,60.88,miami
1938,34,94,74.1,43.74,miami
1939,36,94,74.7,72.62,miami
1940,28,96,72.9,67.12,miami
1941,33,95,74.4,63.34,miami
1942,33,100,74,68.87,miami
1943,34,96,74.1,62.45,miami
1944,35,98,74.7,40.19,miami
1945,39,94,75.1,42.28,miami
1946,44,94,76.4,55.44,miami
1947,32,94,75.7,78.4,miami
1948,34,93,76.8,78.79,miami
1949,39,95,76.1,62.14,miami
1950,39,94,75.2,49.47,miami
1951,36,95,75.3,38.67,miami
1952,42,96,76.2,48.94,miami
1953,44,94,76.4,65.15,miami
1954,41,98,75.5,62.26,miami
1955,40,96,75.2,41.35,miami
1956,39,97,75.2,37.05,miami
1957,35,94,75.9,70.87,miami
1958,35,96,74.6,71.92,miami
1959,40,93,75.8,89.33,miami
1960,34,93,75.2,70.26,miami
1961,39,93,75.9,41.7,miami
1962,35,93,74.7,42.27,miami
1963,43,95,74.7,46.08,miami
1964,36,93,76.4,60.2,miami
1965,35,93,75.9,58.4,miami
1966,35,94,74.3,82.06,miami
1967,36,94,75.8,66.22,miami
1968,34,93,74.3,83.39,miami
1969,44,96,75.5,71.49,miami
1970,35,96,75.8,44.72,miami
1971,35,96,76.4,50.72,miami
1972,42,91,75.9,63.11,miami
1973,39,91,76,53.24,miami
1974,44,93,77.3,49,miami
1975,42,93,77,39.1,miami
1976,40,93,75.3,55.9,miami
1977,31,92,75.4,64.95,miami
1978,39,92,75.4,45.83,miami
1979,40,94,75.7,60.11,miami
1980,32,95,75.8,57.34,miami
1981,32,98,75.7,50.79,miami
1982,33,96,77.5,67.41,miami
1983,33,98,75.4,57.42,miami
1984,44,96,75.1,60.02,miami
1985,30,98,75.4,56.26,miami
1986,36,95,76.4,66.12,miami
1987,41,98,76.5,50.27,miami
1988,43,94,76.6,44.59,miami
1989,30,97,77.4,42.63,miami
1990,49,98,78.1,51.71,miami
1991,41,95,77.8,71.42,miami
1992,46,97,76.9,57.82,miami
1993,44,97,77.3,62.79,miami
1994,50,96,78.1,79.56,miami
1995,39,97,77.1,79.3,miami
1996,37,94,76.5,57.71,miami
1997,37,94,77.4,70.61,miami
1998,49,98,77.8,70.23,miami
1999,44,96,76.7,64.09,miami
2000,42,95,76.7,61.05,miami
2001,39,94,76.8,72.03,miami
2002,42,95,77.6,63.29,miami
2003,36,93,77.3,72.13,miami
2004,46,95,76.8,54.44,miami
2005,43,95,76.6,68.21,miami
2006,44,96,77.1,64.17,miami
2007,42,97,77.8,63.97,miami
2008,39,96,77.7,60.27,miami
2009,38,98,77.9,52.09,miami
2010,35,96,75.7,65.1,miami
2011,44,97,78.2,63.78,miami
2012,43,94,77.3,86.94,miami
2013,45,94,77.9,70.42,miami
2014,46,95,77.5,63.6,miami
2015,42,96,79.1,62.07,miami
2016,46,95,78.1,65.93,miami
2017,47,98,79.1,83.12,miami
2018,44,94,77.7,61.45,miami
2019,46,98,79.1,67.15,miami
2020,40,98,79.3,86.57,miami
2021,49,96,78.3,61.27,miami
