year,precipitation,city
1959,38.77,nyc
1960,46.39,nyc
1961,39.32,nyc
1962,37.15,nyc
1963,34.28,nyc
1964,32.99,nyc
1965,26.09,nyc
1966,39.9,nyc
1967,49.12,nyc
1968,43.57,nyc
1969,48.54,nyc
1970,35.29,nyc
1971,56.77,nyc
1972,67.03,nyc
1973,57.23,nyc
1974,47.69,nyc
1975,61.21,nyc
1976,41.28,nyc
1977,54.73,nyc
1978,49.81,nyc
1979,52.13,nyc
1980,44.55,nyc
1981,38.11,nyc
1982,41.4,nyc
1983,80.56,nyc
1984,57.03,nyc
1985,38.82,nyc
1986,42.95,nyc
1987,46.44,nyc
1988,44.67,nyc
1989,65.11,nyc
1990,60.92,nyc
1991,45.18,nyc
1992,43.35,nyc
1993,44.28,nyc
1994,47.39,nyc
1995,40.42,nyc
1996,56.19,nyc
1997,43.93,nyc
1998,48.69,nyc
1999,41.51,nyc
2000,45.45,nyc
2001,35.65,nyc
2002,45.2,nyc
2003,58.42,nyc
2004,51.93,nyc
2005,55.97,nyc
2006,59.89,nyc
2007,61.67,nyc
2008,53.61,nyc
2009,53.62,nyc
2010,49.37,nyc
2011,72.81,nyc
2012,38.51,nyc
2013,46.32,nyc
2014,53.79,nyc
2015,40.97,nyc
2016,42.17,nyc
2017,45.04,nyc
2018,65.55,nyc
2019,53.03,nyc
2020,45.35,nyc
2021,59.73,nyc
1954,12.62,anchorage
1955,18.55,anchorage
1956,16.13,anchorage
1957,12.49,anchorage
1958,16.1,anchorage
1959,16.23,anchorage
1960,14.51,anchorage
1961,19.27,anchorage
1962,14.57,anchorage
1963,18.11,anchorage
1964,15.89,anchorage
1965,16.5,anchorage
1966,12.25,anchorage
1967,19.16,anchorage
1968,12.08,anchorage
1969,8.08,anchorage
1970,13.09,anchorage
1971,14.89,anchorage
1972,14.63,anchorage
1973,10.68,anchorage
1974,13.42,anchorage
1975,13.04,anchorage
1976,14.54,anchorage
1977,15.51,anchorage
1978,14.75,anchorage
1979,21.15,anchorage
1980,19.17,anchorage
1981,21.34,anchorage
1982,17.68,anchorage
1983,12.16,anchorage
1984,14.97,anchorage
1985,15.51,anchorage
1986,18.95,anchorage
1987,14.93,anchorage
1988,14.32,anchorage
1989,27.55,anchorage
1990,19.01,anchorage
1991,17.31,anchorage
1992,14.44,anchorage
1993,16.89,anchorage
1994,13.12,anchorage
1995,13.76,anchorage
1996,14.46,anchorage
1997,19.48,anchorage
1998,11.52,anchorage
1999,17.97,anchorage
2000,14.62,anchorage
2001,12.53,anchorage
2002,18.05,anchorage
2003,15.69,anchorage
2004,19.27,anchorage
2005,14.04,anchorage
2006,17.69,anchorage
2007,13.61,anchorage
2008,16.13,anchorage
2009,12.52,anchorage
2010,15.51,anchorage
2011,16.42,anchorage
2012,20.25,anchorage
2013,23.97,anchorage
2014,18.28,anchorage
2015,18.95,anchorage
2016,16.48,anchorage
2017,18.66,anchorage
2018,18.44,anchorage
2019,14.56,anchorage
2020,17.22,anchorage
2021,15.44,anchorage
1900,52.68,amherst
1903,43.73,amherst
1909,39.13,amherst
1912,38.56,amherst
1916,45.24,amherst
1918,37.47,amherst
1919,41.61,amherst
1921,42.22,amherst
1922,45.94,amherst
1924,30.96,amherst
1926,40.92,amherst
1927,46.98,amherst
1928,39.9,amherst
1929,40.96,amherst
1930,32.82,amherst
1931,45.18,amherst
1932,39.43,amherst
1933,50.23,amherst
1934,45.58,amherst
1935,34.08,amherst
1936,48.14,amherst
1937,49.48,amherst
1938,58.83,amherst
1939,38.65,amherst
1940,43.57,amherst
1941,33.93,amherst
1942,47.85,amherst
1943,39.45,amherst
1944,39.3,amherst
1945,49.49,amherst
1946,38.61,amherst
1947,38.32,amherst
1948,40.03,amherst
1949,34.25,amherst
1951,42.5,amherst
1952,40.61,amherst
1953,49.77,amherst
1954,43.24,amherst
1955,55.46,amherst
1956,40.31,amherst
1957,33.47,amherst
1958,41.41,amherst
1962,33.02,amherst
1964,29.55,amherst
1965,30.17,amherst
1966,36.77,amherst
1967,43.03,amherst
1968,38.64,amherst
1969,43.94,amherst
1970,39.09,amherst
1971,38.72,amherst
1972,51.96,amherst
1973,47.26,amherst
1974,44.67,amherst
1975,60.25,amherst
1976,39.63,amherst
1977,55.79,amherst
1978,34.59,amherst
1981,39.67,amherst
1983,57.27,amherst
1984,46.9,amherst
1987,42.08,amherst
1988,37.89,amherst
1990,49.51,amherst
1991,49.83,amherst
1992,40.51,amherst
1993,40.65,amherst
1995,41.64,amherst
1996,56.74,amherst
1997,35.86,amherst
1998,40.71,amherst
2000,53.61,amherst
2001,35.38,amherst
2002,42.55,amherst
2003,55.67,amherst
2004,44.71,amherst
2005,55,amherst
2007,41.13,amherst
2008,63.41,amherst
2010,42.09,amherst
2011,62.57,amherst
2012,40.38,amherst
2013,45.1,amherst
2014,48.78,amherst
2015,41.8,amherst
2016,32.83,amherst
2017,43.22,amherst
2018,63.62,amherst
2019,44.96,amherst
2020,42.84,amherst
2021,53.48,amherst
1871,36.61,chicago
1872,29.07,chicago
1873,36.41,chicago
1874,28.73,chicago
1875,38.06,chicago
1876,36.48,chicago
1877,41.01,chicago
1878,41.95,chicago
1879,30.71,chicago
1880,37.32,chicago
1881,42.48,chicago
1882,41.34,chicago
1883,45.86,chicago
1884,34.78,chicago
1885,44.37,chicago
1886,26.77,chicago
1887,29.13,chicago
1888,30.86,chicago
1889,34.95,chicago
1890,32.69,chicago
1891,26.54,chicago
1892,36.56,chicago
1893,27.47,chicago
1894,27.45,chicago
1895,32.32,chicago
1896,32.96,chicago
1897,25.86,chicago
1898,33.77,chicago
1899,27.23,chicago
1900,28.65,chicago
1901,24.53,chicago
1902,37.57,chicago
1903,28.09,chicago
1904,26.14,chicago
1905,35.36,chicago
1906,30.87,chicago
1907,35.1,chicago
1908,34.83,chicago
1909,43.22,chicago
1910,26.86,chicago
1911,33.83,chicago
1912,29.67,chicago
1913,27.11,chicago
1914,28.61,chicago
1915,33.34,chicago
1916,34.05,chicago
1917,24.66,chicago
1918,33.25,chicago
1919,33.49,chicago
1920,30.21,chicago
1921,36.1,chicago
1922,31.57,chicago
